"doc_id","sentence","manual_score"
379,"Mais Microsoft compte bien profiter de l'occasion pour vanter les mérites de son système d'exploitation Windows XP et de sa suite Office XP.",0.25
383,"On place sa demande sur le site, les internautes la propagent.",0
399,"Le kit de Sony, dont le prix tournera autour des 300 $ (200 $US), comprendra un disque dur de 40 Gigabits, un port USB, un clavier et une souris.",0
419,"Sommes-nous prêts à remettre en cause la dépendance des commissions scolaires devant les hausses de prix abusives et autres diktats des éditeurs de logiciels à code propriétaire?",-0.5
423,""" Notre but est de faciliter l'appropriation des technologies de l'information et de la communication par le tiers- secteur et d'en favoriser des usages au service de la citoyenneté active, de la solidarité internationale et du développement local "", résume Florence Delahaye, présidente bénévole de l'association.",0.75
453,"Les plus gros clans allemands, comme Shroet Kommando ou Mortal Team Work, ont obtenu des autorités le statut de club sportif.",0
459,"Mais revenons un tantinet sur Windows XP justement.",0
467,"Si simple...",0.2
467,"En effet, j'ai pensé aux droits d'auteur dès les années 60.",0
469,"«Nous avons une information fiable, que nous nous sommes procurée légalement et qui est d'intérêt public.",0.5
485,"En bon français, on parle de «logiciel contributif»: les utilisateurs de ces programmes versent aux auteurs une contribution, souvent modique, s'ils sont satisfaits du produit.",0.3
488,"Philip Zimmermann, inventeur du logiciel de cryptage PGP, a annoncé fin février qu'il quittait la société PGP Security, filiale de Network Associates Inc.",0
506,"Car, aujourd'hui, souligne Thierry Stoehr, "" le nombre de logiciels éducatifs compatibles avec Windows est infiniment supérieur à ceux qu'il est possible d'installer sur Linux "".",-0.2
520,"«Lorsque Microsoft a été condamné aux Etats-Unis pour abus de position dominante, les directeurs informatiques dans l'administration ont commencé à mesurer les dangers du monopole, observe Bruno Mannoni.",-0.75
540,"Voyez-vous, c'est qu'en tant qu'étudiant à la maîtrise, mon bureau, contrairement à ceux des professeurs voisins et malgré la présence du matériel nécessaire, ne permet pas l'accès au réseau et donc à Internet.",-0.5
574,"L'accès aux nouvelles technologies et leur utilisation est source d'inquiétude pour beaucoup d'intervenants en milieu scolaire.",-0.75
575,"Quels types de candidats recherchent-ils ou lesquels ils ont le plus de difficulté à recruter "", précise Bertrand Dufresne, psychologue industriel et associé chez Groupe Multi Réso, une boîte de chercheurs-consultants.",0
596,"Régulièrement accusé de s'appuyer sur des standards de communication tenus en partie secrets et mutuellement incompatibles pour renforcer sa position,   Microsoft pourrait être contraint d'ouvrir le code source de « Windows ».",-0.2
605,"Aujourd'hui, ils commencent à franchir le pas et à s'équiper en Linux.",0.25
614,"Mardi dernier, Paris aurait dû inaugurer le Linux Venture, la première grande foire européenne du financement des start-up Linux et des logicielslibres de droits.",0.25
647,"Comet Cursor, par exemple, est une appliquette qui se transforme en publicité au passage d'un site particulier.",0
648,"«Il s'agit de faire de ces instruments les leviers, devenus transparents, d'une pensée agrandie [ ]; il s'agit s'apprendre à travailler et à collaborer de nouvelles manières; il s'agit d'apprendre à publier aussi, dans la Toile en particulier; il s'agit enfin d'apprendre à explorer, à regarder le monde, à devenir navigateur plutôt qu'à s'accrocher au rôle d'arpenteur».",0.75
655,"Signes des temps, Intel a insisté sur les aptitudes particulières en ce domaine de son futur Pentium III ; et Microsoft a investi récemment dans une société belge spécialiste en la matière.",0.3
660,"Dans le modèle du libre, le patron circule librement sur l'Internet: chaque petite main peut apporter des modifications et bénéficier de celles apportées par ses comparses.",0.5
669,"De simple projet, Linux est aujourd'hui devenu une solution de rechange sérieuse comme système d'exploitation aux Unix commerciaux, Microsoft Windows et MacOS.",0.5
670,"Et qu'en est-il des Office, Clarisworks, Photoshop et jeux de toutes provenances?",0
735,"Le "" libre "", comme on dit, offrirait des produits moins restrictifs et plus flexibles.",0.5
791,"Ou un trafiquant qui voulait profiter de biens volés ?»«Pour moi, les accusations dont Aaron Swartz faisaient l'objet n'étaient pas motivées par le profit et ne correspondaient même pas vraiment à du piratage»,indique encore à Libération Christopher Soghoian, spécialiste des nouvelles technologies à l'ACLU, le syndicat de défense des droits civiques, «les procureurs auraient dû montrer plus de retenue sur ce cas-là et se concentrer sur des problèmes plus sérieux».",-0.25
792,"""On ne dit pas qu'il y a de la collusion.",0
795,"Jusqu'à maintenant, le secteur informatique semble davantage aux prises avec des problèmes de gestion, estime le ministre Stéphane Bédard.",-0.5
826,"Mal au pixel ne se contente pas de dresser un constat pessimiste sur notre avenir connecté.",-1
828,"C'est en enseignant les programmes et les technologies du logiciellibre, mais aussi en associant les étudiants à son développement selon les modes d'organisation et de collaboration qui lui sont propres que l'on formera les jeunes ingénieurs à ces méthodes collaboratives, à ces approches ouvertes.",0.25
840,"Et si on éliminait une partie du facteur politique justement en nommant non pas un ministre du numérique, mais plutôt un Dirigeant principal de l'information (DPI) qui, tout comme le Vérificateur général ou le Protecteur du citoyen, relèverait du Parlement et non pas d'un ministre ou même, du premier ministre.",0
880,"Une période où on commence à savoir ce qu'on veut faire plus tard dans la vie aussi.",0
881,"« Ceci n'est pas un projet technique, a résumé hier M.",0
902,"Historien de formation et documentaliste, M.",0
910,"L'artiste Julian Oliver a donné corps à ces expressions avec son dernier projet Transparency Grenade, dont le prototype était présenté au festival Transmediale à Berlin.",0.4
920,"Comment expliquer un tel succès, qui contredit tous les modèles économiques ?",0.75
920,"De nombreuses critiques, précises et savantes, dénoncent l'amateurisme et listent les erreurs flagrantes.",-1
921,"À ce jour, l'accueil a toujours été positif.",0.75
944,"Par la voix de son attachée de presse, toutefois, la ministre a tenu à réitérer son appui à cette nouvelle forme de logiciels non associés à de coûteuses licences d'exploitation.",0.75
945,"Quel que soit le relief rencontré, il ne s'éloignera que de quelques dizaines de mètres de la frontière, et quelques mètres tout au plus lorsqu'elle se réduit à une arête effilée.",0
949,"Un oeil sur l'écran de leur laptop et l'autre sur les cofestivaliers, ils doublent les rencontres «in real life» d'une conversation ininterrompue en ligne, traçable avec le hashtag (mot-clé) #mozfest.",0
958,"«On sent qu'il y a une prise de conscience que, face au vieillissant modèle capitaliste, il est temps de regarder quelles sont les autres voies qui peuvent être empruntées.",0.2
959,"Mais avec l'introduction de l'iPhone puis de l'iPad, c'est notre quotidien qui a été réinventé.",0.5
964,"Ce colloque, centré sur les logicielslibres ou opensource, n'oublie pas le matériel qui peut, lui aussi, obéir aux principes de liberté d'usage, de modification et de diffusion.",0.5
1004,"C'est également Inventis qui formera le personnel du HCNUR sur l'utilisation de l'application développée.",0
1031,"Contrairement à ce qu'on raconte, la montagne n'est pas le plus gros handicap pour 2022.",0
1048,"Créer une dépendance C'est au nom de ces valeurs qu'il affirme que ""les gouvernements doivent prendre le virage des logicielslibres, pour garder le contrôle sur leurs données.",0.1
1052,"«Il faut faire la promotion du format libre [en opposition aux formats commerciaux émanant de logiciels comme Word, Excel, PowerPoint...], mais aussi favoriser le partage dans le développement de logiciels en remettant en question les découpages budgétaires par service dans l'administration publique.»   Pour M.",0.35
1054,"Selon elle, l'appel, en favorisant seulement des applications commerciales comme celles de Microsoft, contreviendrait à un jugement de la Cour supérieure qui, depuis juillet dernier, force le gouvernement à tenir compte des logiciels dits libres dans ses approvisionnements informatiques.",0.5
1063,"Une section sera dédiée spécifiquement au logiciellibre dans la politique-cadre sur la gouvernance et les ressources informationnelles que Mme Courchesne doit déposer à l'automne"".",0.3
1089,"Une entreprise peut produire un composant, une deuxième un autre, une troisième les assembler.",0
1134,"JUSTICE   Anne-Elisabeth Combes devient avocate associée au sein du département droit social d'Ernst & Young société d'avocats.",0
1150,"Cette revue que dirige Marcel Gauchet, intellectuel habituellement pondéré, publie cinq articles sur « l'après-crise » que d'aucuns pourraient considérer comme autant de brûlots davantage à leur place dans Alternatives économiques que chez Gallimard.",-0.3
1151,"Ses amis avaient trouvé ça drôle.",0.75
1208,"Mais il est vrai que je partage certaines de leurs inquiétudes concernant la protection de la vie privée sur l'internet.""",-0.5
1287,"QUÉBEC - Cyrille Béraud, le patron de Savoir-Faire Linux, à Montréal, vient d'envoyer à la Cour supérieure une poursuite contre la Régie des rentes du Québec.",-0.5
1318,"Zero Comment, c'est ce qu'on trouve sous la plupart des posts dans les blogs.",-0.2
1323,"Tel était déjà le sens   du mouvement des radios libres, des télévisions locales et des films militants dans les années 70.",0
1328,"L'idée reçue est qu'il faut préserver à tout prix ce précieux actif et envoyer un bataillon d'avocats dès que l'on y touche.",0.25
1333,"Et que seule la publicité est susceptible d'assurer leur rentabilité, qu'on s'en indigne ou qu'on s'y résigne.",-0.25
1353,"Il indexe pour l'instant plus de 201 000 clips et vidéos de concerts.",0
1357,"Guillaume Launay   Second souffle pour la navigation à voile Un pari à 11 millions d'euros.",0.25
1367,"C'est le dernier cas de figure: le voyage mort-né.",0
1379,"Pour éviter le pire et permettre enfin le décollage.""",0
1404,"Il en a fait la raison d'être de sa compagnie.",0
1412,"79.",0
1428,"Ce mobile permet de regarder et de prendre des vidéos qui peuvent ensuite être regardées sur un téléviseur.",0
1433,"Conçu aussi comme un moteur de recherche, le Géocatalogue devrait constituer « le point d'entrée le plus large possible pour rechercher les principales données géographiques de l'État, en connaître les caractéristiques et les moyens d'y accéder et de les visualiser dans le Géoportail », selon la charte du projet.",0.25
1436,"Et ne pas se limiter à la négociation diplomatique : il faut conduire les batailles avec toutes les forces qui existent dans les autres pays et [qui] veulent remettre en cause les politiques libérales.",0.5
1449,"Des avatars célèbres de Second Life, comme Adam Reuters, l'envoyé spécial permanent de l'agence du même nom, ou Hamlet Au, le plus célèbre des reporters de SL, se sont volontairement laissé dupliquer afin de tester l'outil.",0
1451,"D'ailleurs, Koumbit utilise quelques logicielslibres qui démontrent l'étendue de ce mouvement: Drupal, un gestionnaire de contenu de sites Web, et Decisions, un module d'aide à la prise de décision en ligne, qui pourrait être vue comme une version ""opensource"" et plus fiable du système de vote électronique qui a connu des ratés à Montréal, l'année dernière.",-0.25
1497,"Alors, n'attendons pas cinq ans pour lancer le «Quaero du libre» [projet multimédia franco-allemand, ndlr].",0
1503,"«Me jeter en prison a été leur plus grande erreur.",-0.75
1510,"Avant sa jeune entreprise Groove Networks, Ozzie avait créé dans les années 1980 les logiciels de messagerie pour professionnels Lotus Notes (développés ensuite par IBM), et il passe pour être un des tout meilleurs programmeurs d'applications professionnelles au monde.",0.75
1511,"Pour garder leur indépendance, ils ont cependant refusé des offres d'investissement d'autres gros médias.",0
1514,"Il est de ce point de vue significatif que les attaques de la Commission européenne soient le résultat non pas de plaintes de consommateurs qui s'estimeraient lésés par la « position dominante » de Microsoft, mais de l'activisme judiciaire des concurrents de la firme !",-0.5
1518,"« Le débat ne se situe plus entre logicielslibres et systèmes propriétaires, mais au niveau de l'appropriation des standards »,  explique Jean-Christophe Gougeon, chargé à l'Anvar des technologies logicielles.",0
1531,"En France, tout ça reste très compartimenté.» Mal au pixel a pour thème le «boom dot org», le boom des médias libres, sorte de contrepoint citoyen à un concept en vogue, le mercantile «Web 2.0».",0.25
1542,"Et, ce 9 mars, commence un des épisodes les plus ubuesques qu'aient vécus les parlementaires : le gouvernement leur demande d'examiner un texte pour mieux voter contre.",-0.25
1558,"Gag.",0
1649,"Les Verts, convaincus de la première heure, jouent les intermédiaires avec les autres partis.",0
1652,"Puisse le Parlement européen confirmer la confiance qu'il a conquise par son vote de 2003 en rejetant à nouveau clairement la brevetabilité des logiciels et des traitements de l'information à base logicielle.",0
1658,""" Pour y répondre, voyez où se situe votre entreprise face aux problèmes suivants, quatre enjeux importants si la principale source de revenus de votre PME se résume à une poignée de fichiers informatiques.",-0.5
1679,"Les enfants sont les bienvenus.",0.5
1690,"Plus largement, dans la conversation globale, il y a de tout : des discours alarmistes de type science-fiction, des discours promettant que l’IA va tout résoudre… L’IA, comme toutes les technologies, comporte des risques, mais aussi des opportunités.",0
1692,"Ses propres publications, elles, bénéficient d’un coefficient multiplicateur de 1 000, rendant presque inévitable l’exposition à ses tweets et à ses partages de contenus souvent peu fiables.",-0.75
1710,"En 2020, à l’arrivée de la gauche à la mairie, l’adjoint Benjamin Louis reprend le flambeau, sans balayer le travail déjà accompli mais avec d’autres priorités.",0.3
1714,"Autant de process qui nécessitent du matériel complexe.",-0.1
1719,"« Ce rapport est pour moi très troublant, et personne n’en parle !",-1
1726,"Enfin, souligne la note de Goldman Sachs, les importants besoins en électricité liés au calcul informatique pour l’IA vont supposer des investissements supplémentaires dans les réseaux électriques.",0
1734,"NPU   La façon la plus simple pour les applications d’IA sur PC d’être plus rapides est de faire travailler le processeur graphique, le GPU (en anglais), en plus du CPU (processeur central).",0
1743,"« Avancée significative » Sur son précédent exercice annuel, clos fin septembre 2023, le leader Dolby Laboratories a réalisé avec l’ensemble de ses formats audio ou vidéo la quasi-totalité de son chiffre d’affaires, qui a atteint près de 1,3 milliard de dollars (1,2 milliard d’euros), soit une hausse de 3,6 % sur un an.",0.75
1770,"Les Etats voudront-ils aller plus loin et imposer des règles d’achat aux entités publiques, comme la France tente de le faire dans le domaine des services et des données hébergées dans le cloud ?",0
1771,"La société est en discussion avec le MIT et des universités aux États-Unis, au Royaume-Uni et en Chine.",0
1775,"Son premier, Mistral 7B (pour 7 milliards de paramètres), a été téléchargé plus de 1 million de fois.",0
1784,"Avec son style posé, son allure juvénile, son look tee-shirt-jeans et son penchant démocrate revendiqué, Sam Altman incarne jusqu’au cliché le « techie » californien.",0.5
1787,"Un compromis pourra-t-il être trouvé ?",0
1805,"Moderne, aussi : tandis que le souffle divin de la version initiale a disparu, ce nouveau golem, qui apprend « de manière exponentielle » et progresse dans les tâches routinières qu’il exécute, pose les mêmes questions que l’intelligence artificielle.",0
1810,"IA Nvidia, Google, Amazon, Intel, AMD, IBM et Qualcomm.",0
1815,"Ou, pour le dire de façon plus imagée, quand le Petit Prince dit juste « Dessine-moi un mouton », peut-il prétendre à en être l'auteur ?",0
1816,"Et quand il est question de l’Open Game License, c’est vers lui que se tournent les regards des fans, puisqu’il présidait aux destinées de D&D quand elle a été promulguée en 2000.",0.75
1840,"Grâce à l’IA, les systèmes de modération de contenu de Facebook suppriment automatiquement 80 % des discours haineux, contre 38 % début 2018 [le chiffre était de 95 % et plus en 2020-2021, et est redescendu depuis].",0.5
1871,"La plupart d'entre nous ont estimé qu'il n'y avait pas de problème car il s'agit d'organismes unicellulaires et qu'ils étaient protégés d'une certaine manière du champ électrique et qu'en conséquence il ne pouvait pas leur faire de mal.» Aux antipodes du design spartiate de Psients, les performances de Living Instruments rappellent, avec leur enchevêtrement de câbles, d'éprouvettes et de laptops, le capharnaüm des malheureux scientifiques du film de John Carpenter Prince des Ténèbres.",-0.25
1873,"Peut-on parler d'erreur stratégique d'une partie des « élites » françaises qui ont axé notre économie sur les services ?",-0.25
1877,"Son silence pesait.",-0.75
1878,"Je suis fatiguée et calme à la fois.",0
1894,"C’est aussi essentiel pour la pédagogie, car ça force à se poser plein de questions, ça fait discuter dans les labos et ça joue un rôle important de mobilisation?» , explique Audrey Sabbagh, à l’université Paris Cité, coresponsable de l’expérimentation.",0.5
1901,"Mais en Pologne, les agitateurs prorusses se sont activés sur la Toile avec une stratégie nouvelle : décourager les Polonais d'accueillir les réfugiés ukrainiens, au moment où le pays fait face, dans un élan de solidarité admirable, à une vague migratoire sans précédent.",-0.3
1902,"Sans surprise, les attaques les plus virulentes sont venues de Meta.",-0.75
1965,"Reste que les soucis de Huawei ne s'arrêtent pas aux logiciels.",-0.3
1980,"Depuis des années, les syndicats dénoncent sa culture tayloriste et son flicage des salariés.",-0.5
1982,"Une belle revanche pour le groupe qui s'était fait souffler le marché, il y a quatre ans, par Sony.",0.25
1982,"Un point l'inquiète cependant : la difficulté à trouver de la main-d'oeuvre qualifiée et notamment des développeurs en France !",-0.75
1998,"« Suite à la publication de la preuve de concept du sonotone [revue PloS One, 23 septembre], une équipe chinoise a déjà, avec succès, construit le prototype à l'aide des informations et vidéos que nous avons partagées.",-0.25
2025,"Avec ou sans élastique, avec ou sans couture, avec ou sans tissu.",0
2033,"Si un contact rapproché et suffisamment long est constaté, la donnée est enregistrée par l'application et stockée, de manière chiffrée, directement sur le téléphone.",0
2034,"C'est un instrument très théâtral, un mélange entre l'humain et l'outre-monde.",0
2037,"Donner un cours de marketing en direct et face caméra, Nadim Barradia l'a fait sur l'application Zoom pour la première fois devant ses étudiants du Digital College.",0
2041,"Nos travaux permettent d'établir comment on peut réaliser des audits.",0
2043,"L'image aérienne établie par l'industrie est ainsi conservée.",0
2058,"La Touch HD Plus est équipée d'un écran e-ink de 6 pouces rétro-éclairé et résiste aux éclaboussures.",0
2060,"AutoML est une tendance qui va fon damentalement changer le paysage des solutions fondées sur l'apprentissage par machine.",0.5
2062,"Mais ils sont passionnés et aiment l'ambiance de travail.",0.75
2065,"L'ancien patron de Google Eric Schmidt prédisait en 2018 un Internet scindé en deux, l'un chinois et l'autre américain.",0
2073,"Ainsi, la Maif se définit comme une «entreprise de mission»,selon le nouveau label défini à la suite du rapport Notat-Senard sur la vocation sociale et écologique de l'entreprise.",0
2091,"« Ce choix résulte finalement d'une série de hasards, raconte Christophe Fourtet, cofondateur de Sigfox.",0
2105,"Un trimaran révolutionnaire!",0.25
2117,"« La solidarité, aujourd'hui, n'est plus une option.",-0.5
2119,"""  Opensource ou logiciellibre, les deux termes désignent des logiciels dont le code est librement consultable, modifiable et rediffusable, mais le terme "" logiciellibre "" met l'accent sur une philosophie donnant le pouvoir à l'utilisateur.",0.5
2130,"L' « explicabilité » devient un champ de recherche à part entière.",0
2134,"Au Québec, la logique des communs est déjà présente dans de nombreux secteurs et de nombreuses régions, où elle permet de résoudre des défis bien concrets.",0.5
2134,"Nous pensons que cette approche a le potentiel de devenir un narratif rassembleur pour toutes celles et tous ceux qui pensent qu'il est grand temps de réfléchir à un nouveau mode de développement plus démocratique, plus équitable et plus écologique.",0.75
2157,"Nous tenons donc à alerter sur les ­menaces que l'actuel projet de directive comporte pour les acteurs du logiciel, et par là même pour la société tout ­entière : cela va des freins au développement de nouvelles technologies, à cause du blocage dans l'accès au text and data mining (art.",0
2182,"Quant à Cécile Duflot, ancienne ministre et secrétaire nationale d'Europe écologie-Les Verts, elle travaille depuis six mois au sein d'Octopuce, société française spécialisée dans l'hébergement et les logicielslibres.",0
2194,"Le bitcoin repose sur un registre informatique géant (180 Go) ou base de données publique totalement transparente appelée blockchain.A chaque fois qu'une transaction est effectuée entre ses utilisateurs - plus de 3 millions de personnes possèdent des comptes en crypto-monnaie, au premier rang desquels le bitcoin (1) -, elle est ensuite «gravée» dans ce grand livre ouvert.",0
2195,"Malgré une communauté d'évangélistes très motivée, l'opensource reste encore souvent cantonné à quelques secteurs d'activité.",0.25
2205,"Mais nous sommes entrés dans une nouvelle phase.",0.2
2219,"Durant l'été, Google a été ébranlé par la diffusion, dans la presse, d'une note interne dans laquelle un ingénieur expliquait par des « différences biologiques » la sous-représentation des femmes dans le secteur des nouvelles technologies.",-0.5
2225,""" Il participe à trois offensives contre l'organisation Etat islamique (EI), appuyées par l'US Air Force.",-0.25
2232,"Découvrir et acquérir de nouvelles compétences ne sont pas les seuls bénéfices de la mobilité.",0.5
2239,"donner des gages Aujourd'hui, Emmanuel Macron, vous ne pouvez pas prétendre devenir un président responsable et ignorer tous les laissés-pour-compte de la mondialisation.",0
2251,"On a vu se développer des outils beaucoup plus faciles à utiliser.",0.5
2254,"Le texte sera enterré tandis que celui de Mme Lemaire, qui a réussi à trouver un soutien auprès de François Hollande et de l'ancien premier ministre Manuel Valls, est arrivé au Parlement, en janvier 2016.",0
2280,"L'opposition entre logiciellibre et propriétaire est [une bataille] d'un autre temps.",0.2
2284,"L'un était attaché de presse chez un distributeur spécialisé dans l' indie music; l'autre un artiste effectivement underground; un troisième larron, bibliothécaire à Sciences-Po et lui aussi digger (chercheur de pépites musicales rares) frénétique, les rejoint un peu plus tard.",0.1
2295,"Deuxièmement, que le ministère de l'Éducation encourage l'implantation dans les établissements scolaires de logicielslibres, notamment pour générer des économies qui pourront être réinvesties ailleurs.",0.5
2306,"Egalement abandonnée, l'obligation d'héberger ses données en Europe, qui aurait entravé la bonne marche de nombreuses entreprises françaises présentes à l'international.",-0.2
2336,"et M.-E.",0
2356,"Le mouvement du logiciellibre, c'est créer ses propres règles parce qu'on est mécontent des brevets logiciels.",0
2369,"Pour la plupart des voitures millésimées, telle cette Renault 11 de 1986, dont Emmanuel, quadra au chômage, change le carburateur avec application.",0
2384,"Rudelle pense que cette capacité à s'allier à des inconnus, à unir ses forces, à partager des compétences pour un projet commun remonte à la culture des pionniers qui ne pouvaient survivre ou s'en tirer seuls.",0.5
2434,"Si on convertissait ces minutes ou ces heures d'informations conservées en argent, ça représenterait une fortune.»   Le Groupement des chefs d'entreprise du Québec est lui aussi sur le point de créer son propre wiki.",0
2446,"Dans l'un et l'autre cas, la première raison pour créer un nouveau réseau, notamment en France, est la gestion des conflits d'intérêts entre budgets concurrents.",0
2449,"Le roi de la microélectronique, c'est lui, Arduino.",0.2
2475,"Il s'est alors « inscrit sur Facebook pour diffuser l'information », a réalisé une vidéo et a « contacté près de 150 universitaires », en vain jusqu'ici.",-0.2
2497,""" Nous devons nous méfier des analogies que nous pouvons faire lorsque nous imaginons que les robots sont curieux, souligne-t-il.",0
2519,"Au printemps dernier, le VG a exposé que le CSPQ n'avait pas l'assurance d'une libre concurrence, ne favorise pas le traitement équitable des fournisseurs, n'a pas de stratégie de gestion claire et ne mesure pas adéquatement sa performance.",-0.85
2550,"Hollande s'invite à Clairefontaine chez les Bleus, décide d'ouvrir chaque dimanche les jardins de l'Elysée et pendant tout l'été les portes du fort de Brégançon.",0.35
2552,"Comme Antonio, les Brésiliens sont mordus de réseaux sociaux.",0
2566,"Ils souhaitent commencer par l'Icann (Internet Corporation for Assigned Names and Numbers), chargée de gérer les noms de domaines et adresses Internet.",0
2566,"Or, l'IETF, pur produit de la culture Internet, est une réunion informelle d'ingénieurs travaillant bénévolement.",0
2580,"Or, jusqu'à présent, les pionniers de la biologie de synthèse s'étaient attaqués aux bactéries, à l'image de la première bactérie synthétique dont le génome avait été chimiquement fabriqué par l'équipe de Craig Venter, en 2010.",0.1
2592,"Android Wear s'articule autour de Google Now, un assistant personnel censé afficher les informations les plus pertinentes à l'écran, selon le moment de la journée ou la localisation.",0
2597,"Plus de 80 %.",0
2603,"Ce jeu en ligne canadien, élaboré à l'université McGill, demande en effet aux participants d'aider les scientifiques à reconnaître des segments de séquences d'ADN, ou de protéines, communs à plusieurs espèces, tout en suivant des règles compréhensibles par tous.",0
2618,"Il semble que ce soit lié à un nouveau concept post-Charbonneau appelé transparence.",0
2634,"Course implacable.",0.2
2635,"Permet de repérer, avertir, verrouiller et prendre des photos à distance.",0.5
2644,"L'objectif de DNDi était de développer de nouveaux médicaments ou de nouvelles formulations de molécules existantes en invitant les entreprises pharmaceutiques à coopérer, soit en travaillant ensemble sur des projets, soit en ouvrant leurs collections de molécules pour que des chercheurs de DNDi puissent les tester dans les maladies négligées.",0.4
2651,"Crypton présente sa diva androïde comme celle qui incarne «un monde à venir où les chansons sont perdues».La voix de la «Net Age Diva», comme elle est bientôt surnommée, est échantillonnée à partir de celle de Saki Fujita, une jeune actrice.",0
2670,"C'est comme une vision en coupe du réseau.",0
